investor_uuid,investor_name
0ae89ba2-755f-bdf0-4028-1767bf4cea22,Durst Ventures
766bedd3-f49b-4a47-a3b2-e9e69ae182e3,Raj Surapaneni
781126dd-5c9f-730d-0ff8-cef9779ccc35,Momentum Accelerator
f8ea71df-77eb-4c16-b7b3-18c8101c5764,LaTanya Richardson Jackson
846a7ba2-8e36-43b5-9432-cc9387ca7f46,Beehouse
2645d487-8968-40fe-b588-7b7eaa9edf5e,Andrew Kang
15a74672-a010-46f2-afd4-0692d3f73f86,Wyngate Investments
b8e91917-80b4-9651-0086-2c5588218a7a,Nabeel Hyatt
6e3aba94-1ff4-f9a6-23b9-9d439a7854cc,Alfy Louis
8d9b5e65-ddb3-4ac0-9be5-ca4e254948f1,Thibaud Elziere
cf765828-5418-41a2-8f91-542eb20d348e,Max Krupyshev
3899e3f7-1761-4f63-8301-a063afab4999,Nataly Langer
39f8cc44-6e59-488a-b65f-ba36d6b580f3,Jaroslav Beck
b8858541-c5a0-0448-5ad4-587b8cfd6bfc,MetroSITE Group
fd0c1a70-0e86-848e-3ab1-5af6cfd75daa,The Seelig Group
6167e01b-5bae-588a-8d84-0bb3f4b04a2b,Woody Benson
ac5bd239-889b-4857-5d4b-865dbfee0b53,Rob Ness
2c073848-909e-4a63-9c66-ec2703a7acce,Will Weddleton
05b319de-e3fd-4aa5-a258-a5ca72f8d5cb,Dion Waiters
ace5a165-82c8-f50b-b65c-14b41f412961,Skyland Ventures
2fd0a327-b2ba-47f2-b303-b6e21c2627a8,HATCH Aquaculture Accelerator
8f190356-faf3-4912-80e7-38ec4e834d74,Magnuson Center for Entrepreneurship at Dartmouth
b2ac3c5f-48c8-499a-b957-5d7a4845ca01,Paul Yook
f8a9fcc3-3d30-f0a7-bda7-4ab26416f95d,Alliance of Angels
8dbe8c06-4846-4b01-89aa-15e56b71d15f,Anirudh Pai
2d4b5b16-fba9-490a-bc30-2573eca264b4,Circulate Capital
a10ba689-22cf-4e31-ae4c-14441f9c9b50,Sharath Keshava Narayana
d16f6478-51a4-4849-968c-7a6dd7188318,CommandHound
0c206dc8-07f0-5341-330b-fd1913471ddd,Renato Freitas
672aedc5-58f4-42ae-88ac-92a2568503c5,Dreamhaven
73b390eb-8a67-8c6d-11b5-365cf26a940e,JAFCO
928d1176-2a0d-457f-98aa-951a825ebce2,Longley Capital
8de955a3-8cc0-4792-b8e7-40e840d182f1,GSW Sports Ventures
b9c3dd57-e8c7-5e4d-d414-6399c64dc0b9,Terence Channon
320f7280-4b6a-4231-a913-28a5a0de6229,Millennia Capital
ed9f6815-b339-bb48-e521-1b610d325dad,Christopher Lien
fca3c70e-ec1c-dee9-fac5-6c8edc922b00,Mohawk Ventures
55bc869a-6c3e-4f7b-9504-1e9a746fa933,444 Capital
0ef5913a-50e1-46b5-8992-d90a44c59372,Phil Quist
ade1d5fb-d4c3-4589-81d7-10c6c2a1fa7f,Innogen Venture Capital
6c9758f1-fe9a-7bf3-6f17-dbc1a2df7164,Kevin Freedman
6127b430-34ae-26b0-fdfb-8b5a9a3e391d,Scott Crosby
c8507645-6145-4cdf-91cc-8f760c4982ba,Trajectory Capital Partners
2a797267-bc73-4fc9-9f6c-447e02e4db81,Ashley Kramer
4c9c58d8-744c-456b-b9f0-4303853c6681,AIJ Global
400646cf-4de6-4720-9593-077a0ec02973,Neil Shah
a9bb5837-4190-2f46-6740-c673f233b911,BonAngels Venture Partners
6f39222f-718e-4120-ab8f-96bc0002f483,Bas1s Ventures
b5b2ffd8-6c76-3141-34e6-356091068b9a,Margaret Stewart
deec7c4b-adcb-49d2-84e2-d47cf530522e,Jared Messenger
ab033261-74a3-43fb-a34f-1aff7ba5834d,Christopher Yang
689871b7-e1d2-f5ef-4333-86d6232b5667,The Faktory Fund
4b69fb12-5f84-4b13-984b-e4e7cc3dbb85,Jeff Pate
4b38ef37-c04e-4056-88f6-84c0a6f749d4,Four Cities Capital
f1fefb3f-88f6-5d8b-663a-1b282351d03a,Irene Au
4de355ce-0b44-4cb0-8121-aa2ec479a443,Avid3
a0cdbe58-2be4-4cf4-8c8a-78b73ffbf590,Zack Martin
a7b5dfa1-c23a-4cdd-8953-b8141f5679ed,Cyber Club London
275038b3-cd24-e00c-7792-62005250dec2,TRIREC
3bfaa6bd-e1ab-ffd6-dc93-a04379e88da8,Randall Lloyd
62419bf0-781b-3f8b-b2da-b190f2d3ade3,Tavi Gevinson
647a0095-aa36-05a3-464f-d3aefacdf8a0,Vesta
ad259f63-df9d-4a8c-f269-3cbdb96d7042,Brandon Leonardo
b49c6e5b-513c-4766-a3fa-af6812fda030,Eliot Buchanan
c05751ce-b2a2-469f-b23a-6a70490e3a8b,Red Rowant
ca025f9d-c0c6-4e2e-abd9-8a6b5acbf96f,Amplifyher Ventures
95b79fff-8a6f-5687-15c0-3e8175a7681d,Roger McNamee
1b84116f-ed5c-463b-6836-f969cbf07dbe,David Abadi
cd98d961-1d17-42eb-9533-4804d591c0ae,Lynn Williams
bfea9d31-0102-4ef8-ab39-d4dfe01f1707,LVL1 Group
33945493-1bf6-489e-89f4-390bfc3fdd72,Sean Carey
27baef3b-2325-758f-b9f2-f349096f9d79,OTV
99c13473-1436-44ab-8991-fd3e6d49fb06,Falls Fintech
5be3cc13-b5b6-42c3-b31b-0b16638338e4,NLS Ventures
cbbbf4fe-b197-dc07-2e50-a68e2ae55b6d,Zac Penix
9bac16d4-4aa0-ca4b-ae69-88f693f18a7b,Tom Sosnoff
cfe7ab5a-315e-46bc-8add-e78d47256c1a,100Unicorns
deccbaba-9bcb-85e9-38c9-67a1a3832f3e,5M Ventures
5ed37b63-c7ae-7eb2-3392-2212a58cc146,Ryan Hudson
97fb7cc9-67b9-4dcf-8068-96e84069d269,Sahsen Ventures
88300ede-c4ff-7427-73cc-98a0300d86bf,Brandon Evans
fae478f4-04f0-4511-e9b0-1430ac447488,Hovhannes Avoyan
cede4417-bffb-e76e-58b6-1de15e32e1ff,Farzad Nazem
79753d09-78b9-479a-8484-cbdacfc54da2,Flexcap
5f05197d-201a-46f0-b6f8-4f0ee02253b3,Dave Geurts
12caabe9-60fa-5591-4608-f9ca2e3d0e14,Chris Hicken
dbb20aeb-aa46-e2f9-c267-de164a1cead7,David Niu
bda70f45-622f-2b94-5a9e-05f70defbd1d,Allison Bhusri
1b10d0e5-f4dc-2020-2d5d-4a837cde5265,Mauro Del Rio
b635ed63-bd45-7ce1-4bc8-8696a619f1d2,Advisors Capital Management
332eb640-ace6-427b-b950-6380cfd18d81,Startup TNT
f7292542-7da8-4124-b199-5c27b157f316,Ana Carolina Mexia Ponce
c9df7a01-9257-4a74-a013-8c9ec3fa0bef,Kutta Srinivasan
ac749575-6bfc-4a6b-a13d-dba0ddc52eef,Tauros Capital Management
923c731d-1063-4440-b3a1-c5e7a3477d90,Dave Gray
1f5e82be-aaff-4f75-b6bf-1774bf8e06c5,PetRock Capital
6cf9d9aa-d9d2-b71b-9683-bb409be8ea18,Mike Durels
727dd828-87fc-5d9a-64c0-5467ced93a78,Bob Bickel
937c8001-ea45-42af-9ca8-a584813016af,Alloy Labs
bc942568-f4b5-093b-2b37-622769e382ae,Half Court Ventures
245347d8-8716-4612-b6ce-121af98604df,Kenneth Cassel
4af832a2-cd42-4327-a3d5-b01315870e8f,Open Circle Capital
ec4115d6-6965-4505-aabc-9456811d68e8,M.H. Azad
cbee35a0-ab0f-38e4-79ff-dbfa64c2f0d9,HTC
f65a87fd-828c-1ae1-64d5-3a6e8f5e35c9,Mark Sullivan
32f89d6f-0bd6-71fb-9326-2106d94dceca,Matan Bar
bf65a02c-8874-49c5-bbdb-9b416908a876,Elev8.VC
45750ef6-9de7-47ff-b5fe-5916c9543c9d,Joseph Creig
2669e43c-d49d-eab3-761b-5d29c03eae17,Ben Strum
5dc1c749-3d8e-48b7-a365-9cea69493912,HR Tech Investments LLC
d9768ca0-6108-128f-5e98-8e841b566dca,Astarc Ventures
592fe6cb-40cb-4db1-9b93-0764c2aae56d,Olivia Teich
464ea449-14ea-3f1b-cd5c-094b8b8cdb7a,Roger Krakoff
cecd6151-5e1e-470e-9318-ad2ef0db00cb,Alexandra (Alix) Vance
6dde4669-5213-7591-905c-7e3c3c141004,Mike P. Turner
19f7ce58-20cd-b770-ae35-4546f6c7efd0,The Startup Factory
45dea655-2e46-4145-9f95-895f5da22317,Jordan Fish
314ca39f-dc70-2413-c2e7-45342f534c27,Jud Valeski
68bdc626-61ad-5b0f-8191-147b8b4ccce1,Sonia Nagar
ed1041b7-fd3d-479f-88cc-e17cc16d30c2,Rob Price
eb5fa458-672c-40aa-adc1-6f6b9d40b1d7,Blizzard Fund
69bb8556-dc81-5249-faa4-b96059e2ae15,Angel Investor Forum
e20f5c75-647e-4018-b931-99604b12ac29,Eric Sobotka
3f6289b0-8df4-40f2-b811-55a66b24f03c,Brian McGrath
2582751e-b237-6d79-c7f4-a1da6c7813eb,Clément Stenac
204f89eb-c159-4697-9571-45d870d2955d,Spring Tide Capital
3b010b2c-c76f-d5e4-005b-ff9089921b9c,Kresimir Penavic
b7c000b8-0b00-9936-7e3f-7954f1af2949,Flybridge
da761bfc-adb7-e9b1-b90d-52d436c96e75,Entrepreneur First
b0434e74-e213-cc17-fb19-14ac26177b85,Nick Hanauer
8ba09204-b39a-e323-5cb6-8a84b943c3c8,Kai Huang
21f27860-24e6-4801-ac09-a3fcb88f56c1,Patrick Mahomes
f2bcabc3-fc69-4f65-b155-9d82e3fbff89,Wil Merrell
96c5928a-579a-cbdd-f98b-d03c56538dd5,Media Development Authority
a9fd2b4a-e7e2-468c-9ea8-3f071279d7cc,Dezman Moses
b4a10eda-c1e5-037a-2830-f05d81347fb0,Sam Russo
64a13d10-a1af-b8ef-b85a-538bce8102aa,Alexander Kokhanovskyy
6395aa4f-62e1-2763-9800-cb602e77f251,Gerald Lippes
f4bc9863-c3a2-7865-ba2b-49e6298615ee,Powerhouse Ventures
ce4be55e-e451-dd8c-972d-35a0704e6371,iMinds
0ed049f7-6c2e-6b08-bb36-96164275753d,Matthew Toledo
3579b08d-c6b3-3f77-4e58-bbc28a51bfcd,Dag Liodden
da5c5f6c-66f7-4e8f-8a52-5677dabfded0,Michael Kraemmer
0cdb4093-13ee-1e0e-73ae-8ae4c1fbf004,SpringBank TechVentures
9603d8c5-20e9-43be-90c7-4081777a74a0,Anton Katz
2c109a3b-f3a8-4252-bbd9-562b7258438b,Ashley Beitel
e2864b31-f565-4b16-8bec-cd75276f9990,Jess Lee
6be16fdf-053f-4298-8f9c-a247a156efc9,Maxim Pertl
19cce6ec-c311-478c-86ba-cd206853cd1a,UCB Ventures
f306f682-7359-4183-a04b-42c974e2540c,John Doe
b2047b7e-8789-4334-9384-fe71fa49c84b,Emles Advisors
e769ecaf-d679-4fc0-8c85-cad9b0ff096a,Overton Venture Capital
e596515e-38e2-c9c0-7584-a46a8b1ff871,Cornell University
4b850877-9c2e-aeb3-6d47-e4ea1286d8c1,Jared Carmel
49bf3682-a1cc-2128-8dd2-cf2e0ab97875,Jared Schrieber
a08dd843-1fd4-458c-89c5-d09576679836,Prefix Capital
fdc533d2-ed21-5b33-653d-28849fa29d4f,Lisa Fetterman
00051f8d-f2c3-4d9b-bce3-7974641619b1,Solana Big Brains
465d3d71-9a27-87b8-0238-26a703cbf8c2,Mike Dowdle
e3b28e90-332f-4b4d-b603-22bea6514c95,Booz Allen Ventures
cdbfbea8-cc56-5ac1-2654-6f5ef0f6880c,Lars Perkins
f6441956-6fae-41a3-ac33-5b4ac9b8279c,Sat Industries
30359719-b413-ac5e-41f8-07e116809176,Parnasa VC
8aa875da-d8fe-6a9f-6815-579641f2d73b,Jai Choi
79b0df94-7212-f5a1-a58e-64dfb9eae710,Blake Scholl
11a428e2-8315-4af8-80ea-a91b2033ed82,Merck Digital Sciences Studio
e7f1c9bd-8e22-fe6c-c7f7-64a33ac6be19,Dave Nemetz
27814774-c10a-d811-cb78-7aec550e21cc,Antoine Martin
1ee252d5-32a3-b6bf-4445-4f871ee4166a,Jeremiah Owyang
83f186bb-65fd-4af0-8332-87681b5724c0,Golden Valley Capital
72ce0798-c4ea-4ec7-91ec-38b31480e459,For Later
7ff30d87-aa55-3ec6-b25a-dea4a5c27ffb,Joseph Beda
75739680-30f5-812c-5f29-71429ea3424c,Royce Hong
2a0bc537-2263-26a4-eed9-4cac2af65e2e,Blockchain Ventures Corp
e7560d4a-4347-4f24-985a-ac04a11c98e0,Federman Capital
3f03cc8c-f7a4-4ed5-b9ca-be78313d3491,Cake Ventures
b81b88a6-caae-4f28-9be9-4879b38ef361,Luxiena
2752c791-b2c4-460e-8c3f-e660baa6dc3c,Brutalist VC
6971a479-0217-4fa5-95f5-92219d03a5b5,Pareto Ventures
744a2fe5-4216-9913-6778-fff7d851a4d7,Prairie Ventures
38be53ac-b5c9-497a-b96a-ecda4a2e30e4,Larry Gies
3d3b0df0-0110-4a77-94b7-435108c3a982,Dan Arriola
3b006c1f-7118-4174-bc68-1a685c91cede,Ingeborg Investments
d3c8ed94-46fd-ced5-21ff-ac21190fe555,Vivek Sodera
04e48b72-4daf-985b-4dad-bbc9a53de249,Paul Stahura
f2670ca4-d3a3-439b-8685-0390670e2c6b,Mindset Venture Group Ltd
c94b2287-5e0a-d632-3307-b4613510a497,Jim Schneider
88376f50-c9fd-4c15-986d-71f083d0b396,Toro Risk
0edb56d8-761d-40e5-b850-43eb1300c5e8,Robin Rothstein
cf4a044b-5554-4372-8e16-f8f3a0252e09,Larry Doyle
82260697-51e0-538e-8d99-6549d0b3b971,Optum Ventures
f23ebf4c-247a-4e9b-bd27-bcf885401848,280 Capital
49558527-39de-af69-96f4-8cf1281d22f9,LEAD
e9e75dd1-275e-d4f9-6a7a-9ff2b0f87d87,Fred Shilmover
2e0e2b08-53bb-f598-4791-09c593d1624b,Harvard Management Company
6c347f3e-9948-9c05-ad6e-f243712a208f,J J Virgin
d16eb53c-c85e-474f-834d-5c07a03caa85,Christopher Craig
74536cd5-906c-45bd-80f7-570b34072b05,Rialto Ventures
2f4db0d3-687f-df27-bf60-03ee40b43f5f,Bo Shao
66b02851-2957-45d1-b70a-012c6de2eafa,B. Gaba.
b404ba48-7887-4f6f-a301-4d8adb990b19,Tegan Kline
9b06b68f-b70d-d9a4-5adb-afd3c9ed5942,Jason Burke
8d62ab6e-729c-45f6-91de-aac81b56c439,NYX Cosmetics
5a1c9a35-035c-c2e6-c830-9acdca3440f3,Greg Clayman
5ea500f1-2bcd-4995-afa1-8252900b66dc,INT3
9c1634eb-bca5-b89d-99f2-3754704c7154,Macon
d05b05ef-a419-1d3a-37ed-104289b7b890,Polsky Holdings
437e21ce-391a-4f79-a52e-06663f9399fb,Ex Ventures
fed825de-161a-4fd3-a27c-5561e7af3cf4,Mack Maine
ec7188a4-a3f2-4a17-a4e7-2c9ee1f71eae,Mind to Market
dafa53e6-2711-3003-7ec4-863278945d15,Bizdom
c2e8045a-53d0-fbd5-ebf2-f68ca3f2e122,Steve Ricci
98e2cd0a-53a3-3830-841c-c64fa065c74b,Nick Schrock
848efd79-dd90-bdb3-0695-b21ed81ba3e7,Steph Pettit
4f254dea-f1ad-82cb-86fb-2c0a169677fc,Propel
2c99b0ad-d9db-221a-f1cb-7538354c3cf5,Kevin Dick
52f981dd-6d59-458e-9a21-fd76adcac818,Footwork
0ab3e8c6-613e-4ebf-a631-834a22c18a58,John Alteio
3eea33c5-4831-49d5-ba06-22a286a4eb4d,Innovative Private Sector Development
39b5e60f-3644-48b5-b7e0-584f386e042f,The Syndicate.com
b9910fab-b8fd-9470-8132-7ec2b1050b81,Alex Chang
202e54d6-7154-43a2-9f0b-6e5fdcd93eb5,BetterLabs Ventures
829d2d32-2571-4a29-a4c6-07a5ea0416d9,Virginia Woltosz
e4dead13-e979-4778-b215-bb2a678e75eb,Barthazian ‎‏‏‎ ‎
34bbc423-5938-4a38-9596-37563a002d32,Synovia Capital
13d2a884-d1b9-4cc9-bf25-eddfc26af240,Telescopic Ventures
2e41363f-5def-477b-bd90-0ea47af327e5,Gullspång Re:food
8b36b2f1-2a74-4e4b-8635-5127d1db6619,Base4 Capital
23f07168-eaad-3ebd-a84d-f4fd21695f49,Kevin Conroy
5a2da26f-d9ed-3754-44ae-dc92afa5aec8,Globivest
3aad8def-bc78-6278-200d-22abaf439da3,Adrian Grenier
c55efdca-aeef-4620-9da3-5d123cb094bb,Will Arora
fbfd94bd-3592-90be-8ef9-28f5f6ea7ad7,Zach Sherman
0b0e83f9-c3ea-4e12-867a-38dd91e6a2c6,Tiffany Haddish
5cee2d98-cb98-41fe-93ea-8a5809f7d995,GoingVC Partners
f8777224-93d4-4c0e-a18d-b170937b793c,Irving Weisselberger
49439670-5dcd-416b-8f78-4346b1b46722,WRD Capital
7b1dce51-042d-db43-fb16-60eae02aab20,Kraft Heinz
11d37c72-3312-4a89-bcd3-74eb1404d03d,Akshat Vaidya
5dc5364c-c8f5-870a-8209-5d1dc955aecd,WeiVC Incubator
3d2e535b-1bdf-3ae8-1958-610041b5f83b,AJ Baadsgaard
52fe2d43-a36b-4baf-89a7-1c325b9f13c4,FiveT Fintech (formerly Avaloq Ventures)
c70d9c96-5935-44ad-9d0a-781738c1999c,Felix Lyubashevsky
1149d3b3-8af6-9d86-ad27-c39414a3660c,Laurent Asscher
c5019d6a-cb51-4063-bdfa-3a9d10d293f3,Tom Ding
fb153d6a-3d5b-958e-bd37-caa71fd842a7,Eureka Capital Management
3fbdb3fb-8a43-4a98-a721-77a193f1c94b,Conti Ventures
8e9a8e60-f3e8-441c-90a4-db39f6620c33,Benjamin Antier
5ce64378-cb2d-266f-5719-0cd08e9a0063,Liquid 2 Ventures
0c0356e7-83e5-4af9-a8b8-cca8da37918d,Anton Abdukhamidov
8c449653-05dc-c88f-1389-f01d5aea8f41,Abhinav Sinha
8fd4c0d2-d9ae-4e4e-8d02-d1f4cfd8e526,Sean Zheng
4b26a90e-4066-3a74-04a5-44229b477a29,Gary Hirshberg
49f456e8-331f-c6d6-87c8-f63ee2db7699,Andrei Pitiș
54a87b98-86c7-0ed8-500a-7ae68a142bb0,James Zhang
0e23d18b-07de-4be0-b64d-7597447274e8,Clear Heights Ventures
dd1bc061-f569-4331-9043-5ff0da7dc706,Atinum Partners
6baa25ff-06c5-6616-aa6b-74a5cae65046,Beverly Hills Capital
a0741fa8-fe9b-80c2-73b0-e4ba16fc4aa5,Fortive
49b288b5-a7d0-f48a-361f-292ba12d7d67,James Wang
4f157338-cb21-89b3-6a83-471eb3f9971e,Akos Maróy
440e2b5f-92d5-4b01-8c5e-bb26d3e51736,Block1
31072b74-679c-4fef-b492-f610e98ed86e,Ryan Rabin
5d711469-1dbb-3bbd-8a2d-3b6d16b14c1e,New York University
9366abd6-cb47-43a5-95f8-649a37f36681,Generative Ventures
f07df049-365e-cd3f-4b91-920e78900a87,Open Field Capital
e5cea85f-f9a2-d15d-5818-471ff1708968,Jeremy Achin
ad8b0649-61aa-3f06-b051-f6e38f98db63,Allen Chen
07b43e38-f5ad-a505-c73e-f1c93f08a341,Al Harrington
4c385716-6985-4b17-8b67-3c8d29e949f8,Proteum Capital
a9c8f8ee-7ce8-4929-a672-6ac569591ba4,Rice Maximalist
772dbe19-5795-e8fa-0d70-134778a27893,Peter Melerski
69b86d94-afc2-8faa-4410-ee524d51348e,Douglas Merritt
662f614c-b8bf-45f0-a105-f572f72d3ad1,Saltagen Ventures
f3f24fa3-cd5a-46df-9cf8-d30e1972af7d,Empath Ventures
eb6615f1-01e5-0fde-fa87-db030712174d,Adam Schoenfeld
45975e8c-92d8-4f60-bc8f-bce06b67af1c,Vedat Barha
168d1187-a3b6-f9a6-9ae4-b693836be7e9,Ram Varadarajan
07800ef8-95c7-a967-4ea6-971873ccede7,Sky Ventures Group
38506607-ebb2-3dff-529d-343de31571bf,Moshen Chan
c7d079d0-42ca-4c20-af00-a8c7ffc29000,Team Launchpad
aa2e5362-aca1-4a43-b358-0970c90072f0,Non-Fungible Labs
a56631d4-5fbd-47a9-a35e-0f815b4c6b25,Doug Brown
212d50cc-496a-adb8-4a01-ad614c898b8a,Denis Smetnev
2659a344-97f4-4d8a-85ef-40223f2fc65c,WovenEarth Ventures
73d07b5e-f2df-4775-8ea7-808ac1659802,Titan Cement International
494d351d-ce64-4a6b-93e3-530d0ce27a80,Hatch
85607b1a-4a25-4019-8406-c5d9d877c18a,Bellin Health
d9a86d03-8cfc-4504-8338-fad82b975e33,XT.COM
e1f3f2f1-8c7d-4ed0-b277-e8915a115af8,Eugene Zarakhovsky
d2af9a35-9881-4815-8a25-11e49545d01c,Daughters Capital
8426c4a7-1fff-c3d8-9af4-e673a788212d,Abstract Ventures
de2cd2ca-84a5-b26c-e12c-0590ead3904b,Knight & Bishop
6599f877-7c83-0c47-b05b-dbedd3db7b3a,Massachusetts Institute of Technology
ec3074b7-7fb7-515c-0cec-2d3b507a360a,Paul Murphy
731e0ae6-552c-4d63-8a80-3fc837b60cc9,Sabancı Climate Ventures
e93af6f8-9c38-6935-c881-9c8a05ab175d,Eugen Hinirchs-Shramm
40ec51d7-ed07-4334-a74e-e58be21ad2f9,Chuck Porter
9d26a41f-b6f6-6190-e512-9974f1be568d,Thomas Hessler
d5588580-477d-4d80-9fcc-27e496c6050b,Watermark Ventures
ac36ffd1-9408-41b2-8b58-89f73f247650,Mike Wozniak
fca27a14-0d6a-09bf-5672-e0b1d80368ea,HLM Venture Partners
729319b6-b291-3cb4-dbb5-eca56393e4e3,Zach Bruhnke
9c7225e8-6b5c-df1a-7924-72a917ad48cb,Anglo American
31e08f27-e73e-d23c-f055-8107427b23cc,CONSTELLATION CAPITAL AG
837a6b83-59a3-4215-9761-ffa3f9690af9,Liquid X Ventures
6937e0b6-c338-4c1f-c286-7f96b4927ba2,National Bank of Greece
833a2e00-73c7-9fee-5032-2cdda9806c31,Okapi Venture Capital
b4ff4ec8-f2fb-4cd9-b496-720d69035189,Dave Gerhardt
693e8bdb-b7b4-ecb0-02e1-31b27faa3697,Roberto Medrano
8f263026-fbfe-4285-ac3d-213affd46796,Ardent Venture Partners
9fe62cb4-12ec-49cd-a6a1-c26cefcf4dc2,Aravind Srinivas
0c9b6e08-cb8b-35e5-e03d-809de6d9e2ee,Brennan O'Donnell
45043f2b-c774-050d-3123-4ddcd4796952,Allen Day
4d0f328b-7b15-411c-a62f-e29a5567ca1e,Stepan Simkin
2cc04c65-8a6e-4cf6-b7ad-8fe9395778c7,FSHD Society
750ca3a1-872b-41c1-a66e-618722fd0c3a,Yildiz Ventures
234188ae-6675-6f88-4a1e-403db6f3df23,Verizon Wireless
bb724260-25fa-4051-b3bb-12541780c98c,Deepak Garg
c7f96465-0836-de4e-229a-6d7c8f9a8983,Sam Nazarian
165ff37f-86f7-cf6a-3e39-30f351ad9ae6,Debo Olaosebikan
50a917d0-9151-49d0-a544-ecb8eafe7313,Nicholas Crown
15d3b29c-03f2-4470-b65d-a904b295af19,OpenStore
538c0712-f7aa-47d5-875a-e8b9971e6eac,Marquee Equity
97e07392-213e-0f9a-0802-a59e791250ae,FEMSA
43498f08-c0c4-bccf-b546-455243f14423,Green Spark Ventures
1a5f71ab-467c-5a57-2e52-f2c8faf6aa7b,Bill Kurtz
b6c7f186-f02c-aad9-4508-118e617d00ce,Patrick Kennedy
3f359651-6d15-4332-8a80-f3ffd7a0c10e,Fashion For Good
c342de8e-4f8a-4b7a-bd2e-4b489fc0e6cb,SuperCharger Ventures
859de188-dd52-18bf-a210-7528b634cf3d,New York State
4570cbb2-855c-8048-01f5-d75218b335e7,Rafi Gidron
3a41e3ef-a1aa-28cb-457a-57206f6216ee,Roderik van der Graaf
b9f86dd8-5c13-4828-b3e8-8e005cbe25d0,Carbon Removal Partners
1ac444e8-1f42-4e54-b8dd-bfccf94ee60f,Aleka Capital
852b4856-e60c-0a55-e583-73798aee777d,Leonard Stiegeler
eeaafbb3-941e-49f0-842a-860bc9cd49e9,Jed Sunden
af01caaa-598c-431f-8a29-87926ab49518,DG Global Ventures
e13e8fc5-f0fe-02ea-a1c1-ba4005f2afdd,Jonathan Fentzke
4edfe1f1-3c6e-ee17-543d-143830746c87,Lenny Mendonca
a53e1f00-a6a6-a4fa-6441-8e0437120b4c,Justin Shaffer
1a192970-af60-4d75-aae0-5781a3e906de,PitchRight Venture
e55831a9-a313-4dc2-a6b7-291a724da502,Binnacle Partners
