Model: models/investors-linear.pkl, Method: best, Best pick count: 10
Model: models/investors-linear.pkl, Method: median, Best pick count: 500
Success rates of best investments: 1.2%, 1.0%, 0.2%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.3426368715083799x, 1.3450000000000002x, 1.7036666666666669x
Model: models/investors-linear.pkl, Method: median, Best pick count: 1000
Success rates of best investments: 3.9%, 1.5%, 0.3%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.1135698324022347x, 2.0175x, 2.5555000000000003x
Model: models/investors-linear.pkl, Method: median, Best pick count: 10000
Success rates of best investments: 3.5077405447775813%, 0.7446600039192632%, 0.11757789535567313%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.001567705271409x, 1.0015677052714091x, 1.0015677052714091x
Model: models/investors-neural.pkl, Method: best, Best pick count: 10
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: best, Best pick count: 30
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: best, Best pick count: 50
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: best, Best pick count: 100
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: best, Best pick count: 500
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: best, Best pick count: 1000
Success rates of best investments: 0.2%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.05710614525139665x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: best, Best pick count: 10000
Success rates of best investments: 3.5077405447775813%, 0.7446600039192632%, 0.11757789535567313%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.001567705271409x, 1.0015677052714091x, 1.0015677052714091x
Model: models/investors-neural.pkl, Method: mean, Best pick count: 10
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: mean, Best pick count: 30
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: mean, Best pick count: 50
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: mean, Best pick count: 100
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: mean, Best pick count: 500
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: mean, Best pick count: 1000
Success rates of best investments: 0.2%, 0.2%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.05710614525139665x, 0.269x, 0.0x
Model: models/investors-neural.pkl, Method: mean, Best pick count: 10000
Success rates of best investments: 3.5077405447775813%, 0.7446600039192632%, 0.11757789535567313%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.001567705271409x, 1.0015677052714091x, 1.0015677052714091x
Model: models/investors-neural.pkl, Method: median, Best pick count: 10
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: median, Best pick count: 30
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: median, Best pick count: 50
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: median, Best pick count: 100
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: median, Best pick count: 500
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/investors-neural.pkl, Method: median, Best pick count: 1000
Success rates of best investments: 0.5%, 0.3%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.14276536312849164x, 0.4035x, 0.0x
Model: models/investors-neural.pkl, Method: median, Best pick count: 10000
Success rates of best investments: 3.5077405447775813%, 0.7446600039192632%, 0.11757789535567313%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.001567705271409x, 1.0015677052714091x, 1.0015677052714091x
Model: models/coinvestors-linear.pkl, Method: best, Best pick count: 10
Success rates of best investments: 10.0%, 10.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.855307262569833x, 13.450000000000001x, 0.0x
Model: models/coinvestors-linear.pkl, Method: best, Best pick count: 30
Success rates of best investments: 16.666666666666664%, 10.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 4.758845437616388x, 13.450000000000001x, 0.0x
Model: models/coinvestors-linear.pkl, Method: best, Best pick count: 50
Success rates of best investments: 10.0%, 6.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.855307262569833x, 8.07x, 0.0x
Model: models/coinvestors-linear.pkl, Method: best, Best pick count: 100
Success rates of best investments: 11.0%, 7.000000000000001%, 2.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.140837988826816x, 9.415000000000001x, 17.03666666666667x
Model: models/coinvestors-linear.pkl, Method: best, Best pick count: 500
Success rates of best investments: 9.0%, 2.8000000000000003%, 0.4%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.5697765363128493x, 3.7660000000000005x, 3.4073333333333338x
Model: models/coinvestors-linear.pkl, Method: best, Best pick count: 1000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-linear.pkl, Method: best, Best pick count: 10000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-linear.pkl, Method: mean, Best pick count: 10
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/coinvestors-linear.pkl, Method: mean, Best pick count: 30
Success rates of best investments: 20.0%, 16.666666666666664%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 5.710614525139666x, 22.416666666666668x, 0.0x
Model: models/coinvestors-linear.pkl, Method: mean, Best pick count: 50
Success rates of best investments: 12.0%, 10.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.426368715083799x, 13.450000000000001x, 0.0x
Model: models/coinvestors-linear.pkl, Method: mean, Best pick count: 100
Success rates of best investments: 9.0%, 5.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.5697765363128493x, 6.7250000000000005x, 0.0x
Model: models/coinvestors-linear.pkl, Method: mean, Best pick count: 500
Success rates of best investments: 9.0%, 2.8000000000000003%, 0.4%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.5697765363128493x, 3.7660000000000005x, 3.4073333333333338x
Model: models/coinvestors-linear.pkl, Method: mean, Best pick count: 1000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-linear.pkl, Method: mean, Best pick count: 10000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-linear.pkl, Method: median, Best pick count: 10
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/coinvestors-linear.pkl, Method: median, Best pick count: 30
Success rates of best investments: 13.333333333333334%, 10.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.80707635009311x, 13.450000000000001x, 0.0x
Model: models/coinvestors-linear.pkl, Method: median, Best pick count: 50
Success rates of best investments: 12.0%, 10.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.426368715083799x, 13.450000000000001x, 0.0x
Model: models/coinvestors-linear.pkl, Method: median, Best pick count: 100
Success rates of best investments: 11.0%, 5.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.140837988826816x, 6.7250000000000005x, 0.0x
Model: models/coinvestors-linear.pkl, Method: median, Best pick count: 500
Success rates of best investments: 8.200000000000001%, 2.8000000000000003%, 0.4%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.341351955307263x, 3.7660000000000005x, 3.4073333333333338x
Model: models/coinvestors-linear.pkl, Method: median, Best pick count: 1000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-linear.pkl, Method: median, Best pick count: 10000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-neural.pkl, Method: best, Best pick count: 10
Success rates of best investments: 20.0%, 20.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 5.710614525139666x, 26.900000000000002x, 0.0x
Model: models/coinvestors-neural.pkl, Method: best, Best pick count: 30
Success rates of best investments: 16.666666666666664%, 13.333333333333334%, 3.3333333333333335%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 4.758845437616388x, 17.933333333333334x, 28.394444444444446x
Model: models/coinvestors-neural.pkl, Method: best, Best pick count: 50
Success rates of best investments: 16.0%, 8.0%, 2.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 4.5684916201117325x, 10.760000000000002x, 17.03666666666667x
Model: models/coinvestors-neural.pkl, Method: best, Best pick count: 100
Success rates of best investments: 13.0%, 5.0%, 1.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.7118994413407824x, 6.7250000000000005x, 8.518333333333334x
Model: models/coinvestors-neural.pkl, Method: best, Best pick count: 500
Success rates of best investments: 10.4%, 3.2%, 0.6%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.969519553072626x, 4.304x, 5.111000000000001x
Model: models/coinvestors-neural.pkl, Method: best, Best pick count: 1000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-neural.pkl, Method: best, Best pick count: 10000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-neural.pkl, Method: mean, Best pick count: 10
Success rates of best investments: 0.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.0x, 0.0x, 0.0x
Model: models/coinvestors-neural.pkl, Method: mean, Best pick count: 30
Success rates of best investments: 3.3333333333333335%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 0.9517690875232775x, 0.0x, 0.0x
Model: models/coinvestors-neural.pkl, Method: mean, Best pick count: 50
Success rates of best investments: 12.0%, 6.0%, 2.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.426368715083799x, 8.07x, 17.03666666666667x
Model: models/coinvestors-neural.pkl, Method: mean, Best pick count: 100
Success rates of best investments: 13.0%, 7.000000000000001%, 2.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.7118994413407824x, 9.415000000000001x, 17.03666666666667x
Model: models/coinvestors-neural.pkl, Method: mean, Best pick count: 500
Success rates of best investments: 10.6%, 3.5999999999999996%, 0.6%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.0266256983240223x, 4.842x, 5.111000000000001x
Model: models/coinvestors-neural.pkl, Method: mean, Best pick count: 1000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-neural.pkl, Method: mean, Best pick count: 10000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-neural.pkl, Method: median, Best pick count: 10
Success rates of best investments: 10.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.855307262569833x, 0.0x, 0.0x
Model: models/coinvestors-neural.pkl, Method: median, Best pick count: 30
Success rates of best investments: 10.0%, 0.0%, 0.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.855307262569833x, 0.0x, 0.0x
Model: models/coinvestors-neural.pkl, Method: median, Best pick count: 50
Success rates of best investments: 10.0%, 2.0%, 2.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 2.855307262569833x, 2.6900000000000004x, 17.03666666666667x
Model: models/coinvestors-neural.pkl, Method: median, Best pick count: 100
Success rates of best investments: 13.0%, 6.0%, 2.0%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.7118994413407824x, 8.07x, 17.03666666666667x
Model: models/coinvestors-neural.pkl, Method: median, Best pick count: 500
Success rates of best investments: 11.200000000000001%, 3.5999999999999996%, 0.6%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 3.1979441340782127x, 4.842x, 5.111000000000001x
Model: models/coinvestors-neural.pkl, Method: median, Best pick count: 1000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
Model: models/coinvestors-neural.pkl, Method: median, Best pick count: 10000
Success rates of best investments: 6.941649899396378%, 1.9114688128772637%, 0.30181086519114686%
Sucess rates of all investments: 3.5022500489141066%, 0.7434944237918215%, 0.11739385638818234%
Success rate improvement: 1.9820543371963626x, 2.5709255533199196x, 2.5709255533199196x
